inst_fetch_pc instruction_i stall stall_read_i inst_mem_is_valid inst_mem_offset wb_stall wb_dest_reg_sel wb_result wb_read_data
00000000	 fe010113	 0	 0	 1	 00	 0	  0	 00000000	 00000000	
00000004	 00812e23	 0	 0	 1	 00	 0	  0	 00000000	 00000000	
00000008	 02010413	 0	 0	 1	 00	 0	  0	 00000000	 00000000	
0000000c	 06400793	 0	 0	 1	 00	 0	  0	 00000000	 00000000	
00000010	 fef42623	 0	 0	 1	 00	 0	  0	 00000000	 00000000	
00000014	 00200793	 0	 0	 1	 00	 0	  0	 00000000	 00000000	
00000018	 fef42423	 0	 0	 1	 00	 0	  0	 00000000	 00000000	
0000001c	 fec42703	 0	 0	 1	 00	 0	  0	 00000000	 00000000	
00000020	 fe842783	 0	 0	 1	 00	 0	  0	 00000000	 00000000	
00000024	 00f707b3	 0	 0	 1	 00	 0	  0	 00000000	 00000000	
00000028	 fef42223	 0	 0	 1	 00	 0	  0	 00000000	 00000000	
0000002c	 fe442783	 0	 0	 1	 00	 0	  0	 00000000	 00000000	
00000030	 00078513	 0	 0	 1	 00	 0	  0	 00000000	 00000000	
00000034	 01c12403	 0	 0	 1	 00	 0	  0	 00000000	 00000000	
00000038	 02010113	 0	 0	 1	 00	 0	  0	 00000000	 00000000	
0000003c	 00008067	 0	 0	 1	 00	 0	  0	 00000000	 00000000	
00000040	 00000000	 0	 0	 1	 00	 0	  0	 00000000	 00000000	
